id,accuracy,precision,recall,f1_score,f1_macro,true_positives,false_positives,true_negatives,false_negatives,runtime,max_depth,min_child_weight,learning_rate,n_estimators,proportion
74,0.647415329768271,0.4564369310793238,0.3806941431670282,0.4151389710230633,0.5813893375145938,351,418,1465,571,7.0849127769470215,4,1,0.1,300,0.3
75,0.6370766488413547,0.4279279279279279,0.3091106290672451,0.3589420654911838,0.5529170794885059,285,381,1502,637,3.3815927505493164,4,1,0.01,100,0.3
76,0.617825311942959,0.4121779859484777,0.3817787418655097,0.3963963963963964,0.5583964245936077,352,502,1381,570,8.038764715194702,4,1,0.01,300,0.3
77,0.649554367201426,0.4578146611341632,0.3590021691973969,0.4024316109422493,0.577256158560658,331,392,1491,591,3.6377573013305664,4,3,0.1,100,0.3
78,0.6602495543672015,0.4781997187060478,0.368763557483731,0.4164115125535823,0.5883918261787273,340,371,1512,582,7.5183844566345215,4,3,0.1,300,0.3
79,0.6360071301247772,0.4241960183767228,0.3004338394793926,0.3517460317460318,0.5493550480911076,277,376,1507,645,3.217090368270874,4,3,0.01,100,0.3
80,0.6171122994652406,0.4059405940594059,0.3557483731019523,0.3791907514450867,0.5511933138668732,328,480,1403,594,7.027447462081909,4,3,0.01,300,0.3
81,0.6531194295900178,0.4657718120805369,0.3763557483731019,0.4163167366526694,0.5847751575731012,347,398,1485,575,4.412734270095825,6,1,0.1,100,0.3
82,0.6491978609625668,0.4587765957446808,0.3741865509761388,0.4121863799283154,0.5810931899641577,345,407,1476,577,10.3669536113739,6,1,0.1,300,0.3
83,0.6267379679144385,0.4178712220762155,0.3449023861171366,0.3778966131907308,0.5556404379933793,318,443,1440,604,5.8271589279174805,6,1,0.01,100,0.3
84,0.613903743315508,0.3958602846054334,0.3318872017353579,0.3610619469026548,0.5422167972061167,306,467,1416,616,12.422253131866457,6,1,0.01,300,0.3
85,0.6392156862745098,0.44,0.3579175704989154,0.3947368421052631,0.5688768009408998,330,420,1463,592,4.071818590164185,6,3,0.1,100,0.3
86,0.6481283422459893,0.4556616643929058,0.3622559652928416,0.4036253776435045,0.5770339277598053,334,399,1484,588,8.380077362060547,6,3,0.1,300,0.3
87,0.6360071301247772,0.4324693042291951,0.3438177874186551,0.3830815709969789,0.5624636679257966,317,416,1467,605,5.691471576690674,6,3,0.01,100,0.3
88,0.6171122994652406,0.4012987012987013,0.3351409978308026,0.3652482269503546,0.5455643891260196,309,461,1422,613,11.730302333831789,6,3,0.01,300,0.3
89,0.6331550802139038,0.4337050805452292,0.3796095444685466,0.4048582995951416,0.5698602242629147,350,457,1426,572,7.150269746780396,10,1,0.1,100,0.3
90,0.6395721925133689,0.4413702239789196,0.3633405639913232,0.3985722784057108,0.5706274474237768,335,424,1459,587,12.620243310928345,10,1,0.1,300,0.3
91,0.6399286987522281,0.4427083333333333,0.368763557483731,0.4023668639053254,0.5723569013404178,340,428,1455,582,12.532890796661375,10,1,0.01,100,0.3
92,0.6267379679144385,0.4249699879951981,0.3839479392624729,0.4034188034188034,0.5659117363397519,354,479,1404,568,29.477011919021606,10,1,0.01,300,0.3
93,0.6352941176470588,0.4341590612777053,0.3611713665943601,0.3943161634103019,0.56670666624991,333,434,1449,589,5.600796461105347,10,3,0.1,100,0.3
94,0.6406417112299465,0.4431216931216931,0.3633405639913232,0.399284862932062,0.5714633877223891,335,421,1462,587,11.376071453094482,10,3,0.1,300,0.3
95,0.6566844919786097,0.4730617608409987,0.3904555314533622,0.427807486631016,0.5912910618792971,360,401,1482,562,7.717325687408447,10,3,0.01,100,0.3
96,0.6377896613190731,0.4429611650485437,0.3958785249457701,0.4180985108820161,0.5775792761449419,365,459,1424,557,18.51946783065796,10,3,0.01,300,0.3
